Municipio;Idade;Obito;idade_avancada;casos_confirmados;percent_obitos
ADAMANTINA;25486.0;91;200;441;0.20634920634920634
ADOLFO;4269.0;13;39;72;0.18055555555555555
AGUAI;17728.0;71;147;310;0.22903225806451613
AGUAS DA PRATA;5387.0;19;50;88;0.2159090909090909
AGUAS DE LINDOIA;10734.0;38;78;187;0.20320855614973263
AGUAS DE SANTA BARBARA;2099.0;10;19;34;0.29411764705882354
AGUAS DE SAO PEDRO;3062.0;9;29;54;0.16666666666666666
AGUDOS;30524.0;79;193;571;0.138353765323993
ALAMBARI;2721.0;6;24;47;0.1276595744680851
ALFREDO MARCONDES;4047.0;10;43;63;0.15873015873015872
ALTAIR;2868.0;13;21;49;0.2653061224489796
ALTINOPOLIS;7089.0;33;60;117;0.28205128205128205
ALTO ALEGRE;3520.0;11;32;57;0.19298245614035087
ALUMINIO;12444.0;35;107;214;0.16355140186915887
ALVARES FLORENCE;3868.0;11;30;68;0.16176470588235295
ALVARES MACHADO;16103.0;50;118;286;0.17482517482517482
ALVARO DE CARVALHO;1112.0;6;10;17;0.35294117647058826
ALVINLANDIA;2372.0;8;23;39;0.20512820512820512
AMERICANA;145205.0;413;1068;2595;0.15915221579961464
AMERICO BRASILIENSE;66912.0;76;321;1409;0.0539389638041164
AMERICO DE CAMPOS;11135.0;25;100;186;0.13440860215053763
AMPARO;31153.0;97;233;553;0.17540687160940324
ANALANDIA;3445.0;5;32;57;0.08771929824561403
ANDRADINA;69043.0;153;485;1247;0.1226944667201283
ANGATUBA;31986.0;45;227;587;0.07666098807495741
ANHEMBI;2165.0;8;20;35;0.22857142857142856
ANHUMAS;2574.0;6;13;46;0.13043478260869565
APARECIDA;21508.0;63;175;368;0.17119565217391305
APARECIDA D'OESTE;5759.0;12;55;95;0.12631578947368421
APIAI;9255.0;64;72;155;0.4129032258064516
ARACARIGUAMA;13856.0;35;86;260;0.1346153846153846
ARACATUBA;179676.0;556;1406;3158;0.17606079797340088
ARACOIABA DA SERRA;21271.0;49;163;372;0.13172043010752688
ARAMINA;2219.0;13;16;39;0.3333333333333333
ARANDU;2430.0;14;17;43;0.32558139534883723
ARAPEI;1367.0;1;10;26;0.038461538461538464
ARARAQUARA;187275.0;386;1284;3420;0.11286549707602339
ARARAS;110149.0;287;862;1922;0.14932362122788762
ARCO-IRIS;1247.0;5;10;23;0.21739130434782608
AREALVA;3393.0;15;30;56;0.26785714285714285
AREIAS;448.0;1;4;8;0.125
